"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"STAR: Swarm Technology for Aerial Robotics Research","J. Chiun; Y. R. Tan; Y. Cao; J. Tan; G. Sartoretti","College of Design and Engineering, National University of Singapore, Singapore; College of Design and Engineering, National University of Singapore, Singapore; College of Design and Engineering, National University of Singapore, Singapore; College of Design and Engineering, National University of Singapore, Singapore; College of Design and Engineering, National University of Singapore, Singapore","2024 24th International Conference on Control, Automation and Systems (ICCAS)","9 Dec 2024","2024","","","141","146","In recent years, the field of aerial robotics has witnessed significant progress, finding applications in diverse domains, including post-disaster search and rescue operations. Despite these strides, the prohibitive acquisition costs associated with deploying physical multi-UAV systems have posed challenges, impeding their widespread utilization in research endeavors. To overcome these challenges, we present STAR (Swarm Technology for Aerial Robotics Research), a framework developed explicitly to improve the accessibility of aerial swarm research experiments. Our framework introduces a swarm architecture based on the Crazyflie, a low-cost, open-source, palm-sized aerial platform, well suited for experimental swarm algorithms. To augment cost-effectiveness and mitigate the limitations of employing low-cost robots in experiments, we propose a landmark-based localization module leveraging fiducial markers. This module, also serving as a target detection module, enhances the adaptability and versatility of the framework. Additionally, collision and obstacle avoidance are implemented through velocity obstacles. The presented work strives to bridge the gap between theoretical advances and tangible implementations, thus fostering progress in the field.","2642-3901","978-89-93215-38-0","10.23919/ICCAS63016.2024.10773308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773308","Aerial Robotics;Micro UAV;Landmark Localization;Robotic Application","Location awareness;System performance;Stars;Swarm robotics;Object detection;Motion capture;Peer-to-peer computing;Maintenance;Collision avoidance;Robots","","3","","15","","9 Dec 2024","29 Oct.-1 Nov. 2024","29 Oct.-1 Nov. 2024","IEEE","IEEE Conferences"
"FedPPO: Federated Proximal Policy Optimization for Multi-Robot Collision Avoidance","X. An; Z. Du; Y. Lin; J. Wu; J. Chen; A. Shan; X. Li; M. Lin","Graduate School of Informatics and Engineering, The University of Electro-Communications, Chofu, Tokyo, Japan; Graduate School of Informatics and Engineering, The University of Electro-Communications, Chofu, Tokyo, Japan; Graduate School of Informatics and Engineering, The University of Electro-Communications, Chofu, Tokyo, Japan; Graduate School of Informatics and Engineering, The University of Electro-Communications, Chofu, Tokyo, Japan; Department of Information Science and Technology, Baotou Teachers' College, Baotou, China; Department of Information Science and Technology, Baotou Teachers' College, Baotou, China; Graduate School of Informatics and Engineering, The University of Electro-Communications, Chofu, Tokyo, Japan; Inner Mongolia Electronic Information Vocational Technical College, Hohhot, Inner Mongolia, Autonomous Region, P. R. China",2025 International Conference on Meta-Networking (MEET),"21 Jan 2026","2025","","","1","8","Multi-robot collision avoidance in decentralized manner is a challenging task which avoids collision with other robots and obstacles only based on its own observations. Recently, multi-agent reinforcement learning-based centralized training with decentralized execution has been widely used to train shared policy to reduce training cost. However, applying shared policies may limit the applicability in heterogeneous multi-robot systems. In this paper, we propose federated proximal policy algorithm (FedPPO) to share experience among robots with privacy preservation, which can be applied in heterogeneous robots. Each robot has its own policy and can upload the model parameter to server after several local training iterations. The server aggregates the model parameter to share experience. It is a capable solution addressing the low sampling efficiency of independent policy methods and the limited applicability of shared policy methods. The algorithms are trained on the irsim simulator. The experimental result shows that the proposed method has good sampling efficiency, and it can be used in heterogeneous multi-robot collision avoidance task.","","979-8-3315-7785-8","10.1109/MEET67398.2025.11335899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11335899","Federated Reinforcement Learning;Proximal Policy Optimization;Multi-Agent Reinforcement Learning;Multi-Robot Collision Avoidance","Training;Privacy;Costs;Aggregates;Reinforcement learning;Servers;Multi-robot systems;Collision avoidance;Robots;Optimization","","","","14","IEEE","21 Jan 2026","24-26 Oct. 2025","24-26 Oct. 2025","IEEE","IEEE Conferences"
"Cooperation and Coordination Principles for Icy Moon Exploration with Autonomous Multi Robot Systems","A. M. J. Skulimowski","Decision Science Lab, AGH University, Kraków, Poland",2025 IEEE Aerospace Conference,"14 Jul 2025","2025","","","1","12","This paper presents research motivated by a higher-than-ever level of multidimensional autonomy of planetary su-rface exploration beyond the Mars orbit required from robotic systems. Obviously, this is due to the long time duration requi-red to establish communication with the nearest human opera-tor and the expected high complexity of astrobiological explo-ration of moons hosting a subsurface ocean (“Icy Moons”). First, we present a summary of challenges and bottlenecks related to the autonomous exploration of Icy Moons. Next, we characterize the software requirements necessary for the reliable deployment of teams of autonomous planetary surface robots. This ensures higher exploration robustness compared to the standard systems using single units. Third, we address the need for new concepts for multi-level robot decision and learning autonomy as well as novel approaches to anticipatory coordination and cooperative phenomena in robot teams. Specifically, we propose an application of anticipatory robotics principles in planning the cooperation of deep space intelligent exploratory robots with autonomous decision making capabi-lities and knowledge sharing of other robots' decision algorithms. This latter knowledge sharing is essential in situations where communication is limited during the execution of a sha-red task to predict future actions of the robotics system. Cooperating robot formations are modeled as evolving antici-patory networks, driven by discrete event systems with virtual supervisors. The computational homogeneity among the robots allows each of them to periodically act as a coordinator and issuing commands to other robots while integrating their anti-cipated positions and activities. The above principles have been validated in experiments with inspection and harvesting robot teams. We will also propose new solutions to travel path plan-ning for multiple exploratory rovers based on an additive transformation of probabilistic risk superposition on path segments. As an illustrative example, we present a multicriteria coordination problem involving a team of robots planning non-dominated paths and collaborating in an anticipatory network. Finally, we assess planned deep space missions to identify pro-mising applications for coordinated anticipatory robot teams.","2996-2358","979-8-3503-5597-0","10.1109/AERO63441.2025.11068694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11068694","","Robot kinematics;Moon;Software;Robustness;Space exploration;Software reliability;Planning;Artificial intelligence;Deep-space communications;Surface treatment","","3","","29","IEEE","14 Jul 2025","1-8 March 2025","1-8 March 2025","IEEE","IEEE Conferences"
"Towards Flexible Manufacturing: Motion Generation Concept for Coupled Multi-Robot Systems","Y. Tang; W. Shen; I. Mamaev; B. Hein","Karlsruhe University of Applied Sciences; Robotics Lab (IAR - IPR), Karlsruhe Institute of Technology (KIT), Institute for Anthropomatics and Robotics - Intelligent Process Automation, Karlsruhe, Germany; Karlsruhe University of Applied Sciences; Karlsruhe University of Applied Sciences",2023 IEEE 19th International Conference on Automation Science and Engineering (CASE),"28 Sep 2023","2023","","","1","7","This paper presents a motion generation concept with stiffness and path constraints for multi-robot systems in a flexible manufacturing context. An optimization approach using closed-form inverse kinematics solutions is proposed to maximize the Cartesian stiffness, simultaneously preserving the continuity of the joints' movement. We also present an efficient trajectory generation approach combining Particle Swarm Optimization (PSO) and Online Trajectory Generation (OTG) methods. For the sake of synchronization, we assume a 14 Degrees of Freedom (DOF) closed-chain kinematics for the trajectory generation of the dual-robot system. We evaluate the proposed approach on a mock-up of the sheet metal bending task using two coupled Franka Emika robots. The results show that the proposed method increases the stiffness of the robot, as it can apply three times the force compared to benchmark methods before reaching the joint torque limit in the single robot experiments. Furthermore, two physically coupled Panda robots can generate a force of up to 732 N with joint torque limits set to 10%.","2161-8089","979-8-3503-2069-5","10.1109/CASE56687.2023.10260365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10260365","","Torque;Force;Kinematics;Trajectory;Manufacturing;Multi-robot systems;Synchronization","","2","","29","IEEE","28 Sep 2023","26-30 Aug. 2023","26-30 Aug. 2023","IEEE","IEEE Conferences"
"Heterogeneous Multi-Robot Person-Following in Constrained Environments","O. A. Miller; J. M. Gregory; C. Reardon","Department of Computer Science, University of Denver; DEVCOM Army Research Laboratory; Department of Computer Science, University of Denver",2024 IEEE International Symposium on Safety Security Rescue Robotics (SSRR),"3 Dec 2024","2024","","","136","141","There are many reasons for a robot to track a moving person, from security monitoring to providing social assistance. In this work, we consider the problem of autonomously tracking a moving person through an altitude-constrained environment using mobile robotic platforms. This problem presents several challenges. Because we are constrained to low altitudes, such as in indoor environments or below the roof or treeline in an outdoor environment, in order to maintain sensor tracking the platforms must strongly consider obstacles and occlusion. Because we consider the robot's maximum speed to be constrained to the same order of magnitude as the target, the robots must make timely and correct navigation decisions to maintain track. We examine solutions to these challenges using a robot team consisting of a slower, more-capable ground robot and a faster, less-capable micro aerial vehicle. Three methods for robot navigation decision-making are evaluated: a heuristic-based predictive goal search algorithm, a multi-agent reinforcement learning method, and a baseline closed-loop method. While the heuristic method proved the most reliable, completing all nine paths and reaching targets nearly twice as fast as RL, we were still able to demonstrate a successful MARL-based solution. These findings reveal both the potential and limitations of RL, demonstrating the promise of heterogeneous multi-robot systems for person-following in unpredictable settings.","2475-8426","979-8-3315-1095-4","10.1109/SSRR62954.2024.10770001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10770001","","Training;Adaptation models;Solid modeling;Target tracking;Three-dimensional displays;Navigation;Heuristic algorithms;Robot sensing systems;Security;Vehicle dynamics","","2","","10","IEEE","3 Dec 2024","12-14 Nov. 2024","12-14 Nov. 2024","IEEE","IEEE Conferences"
"Multi-Robot Motion Planning From Vision and Language Using Heat-Inspired Diffusion","J. Chae; J. Chang; S. Yeom; Y. Kim; J. Choi","Department of Artificial Intelligence, Yonsei University, Seoul, South Korea; School of Mechanical Engineering, Yonsei University, Seoul, South Korea; School of Mechanical Engineering, Yonsei University, Seoul, South Korea; School of Mechanical Engineering, Yonsei University, Seoul, South Korea; Department of Artificial Intelligence, Yonsei University, Seoul, South Korea",IEEE Robotics and Automation Letters,"27 Apr 2026","2026","11","6","7118","7125","Diffusion models have recently emerged as powerful tools for robot motion planning by capturing the multi-modal distribution of feasible trajectories. However, their extension to multi-robot settings with flexible, language-conditioned task specifications remains limited. Furthermore, current diffusion-based approaches incur high computational cost during inference and struggle with generalization because they require explicit construction of environment representations and lack mechanisms for reasoning about geometric reachability. To address these limitations, we present Language-conditioned Heat-inspired Diffusion (LHD), an end-to-end vision-based framework that generates language-conditioned, collision-free trajectories. LHD integrates semantic priors from CLIP, a vision-language model (VLM), with a collision-avoiding diffusion kernel serving as a physical inductive bias that enables the planner to interpret language commands strictly within the reachable workspace. This naturally handles out-of-distribution (OOD) scenarios—in terms of reachability—by guiding robots toward accessible alternatives that match the semantic intent, while eliminating the need for explicit obstacle information at inference time. Extensive evaluations on diverse real-world-inspired maps, along with real-robot experiments, show that LHD consistently outperforms prior diffusion-based planners in success rate, while reducing planning latency.","2377-3766","","10.1109/LRA.2026.3685932","National Research Foundation of Korea; Korea government(grant numbers:RS-2024-00344732); Korea Institute of Science and Technology; Institutional Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11488547","Multi-robot systems;diffusion models;motion and path planning;collision avoidance","Feeds;Central Processing Unit;Filtering;Biomimetics;Filters;MIMICs;Millimeter wave integrated circuits;Monolithic integrated circuits;Electronic circuits;Feedback control","","","","33","IEEE","20 Apr 2026","June 2026","","IEEE","IEEE Journals"
"GIPD: Global Intent Prediction and Decomposition of Cooperative Multi-Robot System in Non-Communication Environments","Y. Zhao; Z. Liu; H. Wei; K. Wang; H. Wang; D. Zhai; K. Jin; H. Shao","School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; China State Shipbuilding Corporation 726th Research Institude, Shanghai, China; China State Shipbuilding Corporation 726th Research Institude, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11277","11282","In complex multi-robot application scenarios, particularly in dynamically adversarial, hazardous, or disaster environments, traditional cooperation paradigms face significant challenges due to unreliable or absent communication links. Achieving efficient cooperation in the absence of communication has become a key bottleneck limiting the performance of multirobot systems. In this paper, we propose a Global Intent Prediction and Decomposition (GIPD) framework that enables robots to perform cooperative behavior without relying on communication. Each robot independently infers a globally consistent intent based solely on its local observations, ensuring implicit alignment across the system. Given the inferred global intent, robots autonomously determine their responsibilities and select the most appropriate tasks. They then base their local decision-making on the global intent, selected tasks, and individual observations, thereby facilitating effective execution and cooperation. We validate our approach using the MPE and SMAC benchmarks. Additionally, real-world experiments involving multiple ships demonstrate the effectiveness and practical applicability of the proposed GIPD method.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247120","","Limiting;Disasters;Decision making;Benchmark testing;Multi-robot systems;Marine vehicles;Intelligent robots;Faces","","","","25","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Novel Implementation of Multi-Robot Space Exploration Utilizing Coordinated Multi-Robot Exploration and Frequency Modified Whale Optimization Algorithm","F. Gul; I. Mir; W. Rahiman; T. U. Islam","Department of Electrical Engineering, Air University, Aerospace and Aviation Campus Kamra, Attock, Pakistan; Department of Avionics Engineering, Air University, Aerospace and Aviation Campus Kamra, Attock, Pakistan; School of Electrical and Electronics Engineering, Universiti Sains Malaysia, Nibong Tebal, Malaysia; Aerospace Department, Air University, Aerospace and Aviation Campus Kamra, Attock, Pakistan",IEEE Access,"9 Feb 2021","2021","9","","22774","22787","Multi-robot space exploration involves building a finite map utilizing a cluster of robots in an obstacle cluttered environment. The uncertainties are minimized by assigning tasks among robots and computing the optimum action. Such optimal trajectories are traditionally obtained utilizing deterministic or metaheuristic techniques, with each having peculiar limitations. Recently, limited work with the sub-optimal result has been done utilizing frameworks that utilize a blend of both techniques. This paper proposes a novel framework which involves the integration of deterministic Coordinated Multi-Robot Exploration (CME) and metaheuristic frequency modified Whale Optimization Algorithm (WOA) techniques, to perform search exploration that imitates the predatory behavior of whales. The frequency is dynamically adjusted utilizing a statistical objective function to tune exploitation and exploration operators. The proposed framework involves a) determination of the cost and utility functional values around individual group members utilizing deterministic CME technique, b) search space exploration to optimize and improve the overall solution utilizing frequency modified whale metaheuristic approach. The effectiveness of the proposed Frequency Modified Hybrid Whale Optimization Algorithm (FMH-WOA) is ascertained by training the multi-robotic framework in different complexity environmental conditions. The results efficacy is then demonstrated by comparing the results of the proposed methodology with those achieved from three other contemporary optimization techniques namely CME-WOA, CME-GWO, and CME-SineCosine.","2169-3536","","10.1109/ACCESS.2021.3055852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9343330","Multi robotic path planning;coordinated multi-robot exploration (CME);metaheuristic;whale optimization algorithm (WOA);hybridization;CME-WOA;CME-GWO;CME-SineCosine","Robots;Robot kinematics;Optimization;Space exploration;Robot sensing systems;Whales;Task analysis","","74","","71","CCBY","1 Feb 2021","2021","","IEEE","IEEE Journals"
"Intelligent Swarm Robotics for Disaster Response and Obstacle Avoidance","S. R B; S. S. T B; D. Gururaj","Department of Electronics And Comunication Enginnering, Rajalakshmi Engineering College, Chennai, India; Department of Electronics And Comunication Enginnering, Rajalakshmi Engineering College, Chennai, India; Department of Electronics And Comunication Enginnering, Rajalakshmi Engineering College, Chennai, India",2025 5th International Conference on Pervasive Computing and Social Networking (ICPCSN),"19 Jun 2025","2025","","","892","897","Swarm robotics relying on collective behaviour in biological systems like ant colonies, flocks of birds, and schooling fish poses a fault tolerant way to address hard problems under certainty in decentralized manners. Develop and function a swarm robotics system that comprises a multi-sensor and camera module commanded by an ESP32 microcontroller. The core capabilities are detection of humans and avoiding obstacles to perform efficient navigation through unfamiliar terrains. An internet-based website interface facilitates distant viewing and advanced planning through provision of real-time details in a comfortable format. A peer-to-peer low-latency communication provided by ESP-NOW creates a strong mesh network. LoRa integration allows the reliable longer-range transfer of data while retaining the low latency ESP-NOW peer-to-peer communication which extends the overall operational range. The combination of these layers guarantees robust inter-robot coordination, low power consumption, and reliable data transfer over various terrains. In the swarm mode, every ESP32 acts as an edge computing node processing light-weight machine learning models for onboard human detection. Eliminating centralized processing enables every robot to compute visual and sensor data locally and update the web server with information detected. This method is optimally suitable for search-and-rescue and autonomous operations.","","979-8-3315-3519-3","10.1109/ICPCSN65854.2025.11035980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11035980","Swarm robotics;Obstacle avoidance;ESPNOW;LoRa;Edge Computing;Human Detection;Rescue operation","Visualization;Social networking (online);Robot vision systems;Swarm robotics;LoRa;Web servers;Peer-to-peer computing;Low latency communication;Collision avoidance;Edge computing","","","","20","IEEE","19 Jun 2025","14-16 May 2025","14-16 May 2025","IEEE","IEEE Conferences"
"Planning and Integration of a Multi-Robot Adaptive Charging Network for Voltage Regulation via Unscented Kalman Filter-Based Deep Reinforcement Learning","S. An; J. Qiu; J. Lin; X. Sun; B. Liu; Z. Yuan","School of Electrical and Computer Engineering, The University of Sydney, Sydney, Australia; School of Electrical and Computer Engineering, The University of Sydney, Sydney, Australia; School of Electrical and Computer Engineering, The University of Sydney, Sydney, Australia; School of Electrical Engineering, Shandong University, Jinan, China; School of Electrical and Computer Engineering, The University of Sydney, Sydney, Australia; School of Electrical and Computer Engineering, The University of Sydney, Sydney, Australia",IEEE Transactions on Smart Grid,"23 Dec 2025","2026","17","1","518","536","High levels of electric vehicle (EV) penetration and load uncertainty pose significant challenges to traditional voltage regulation in distribution systems (DS), particularly concerning voltage drops. This study investigates the potential of a dual-service mode (V2V/V2G) for mobile charging using multiple charging robots, cooperating with conventional DS voltage regulation methods to enhance performance. Specifically, we propose a multi-robot adaptive charging network (MRACN) embedded in a three-level voltage regulation framework to address voltage violations. At the low level, we introduce a voltage security rule-based dispatch strategy for MRACN to mitigate EV-induced voltage drops. At the mid-level, we optimize day-ahead scheduling of on-load tap changers and capacitor banks via optimal power flow for long-term voltage regulation. At the high level, we employ an unscented Kalman filter-based deep reinforcement learning (UKF-DRL) approach to integrate MRACN into DSs for real-time voltage control. Experimental results demonstrate that MRACN effectively reduces voltage violations and enhances the flexibility of conventional voltage control systems. Moreover, the UKF-DRL method accelerates DRL training by nearly an order of magnitude compared to full AC power-flow solutions, with the overwhelming majority of state estimates deviating by no more than 2%.","1949-3061","","10.1109/TSG.2025.3618899","ARC Research Hub(grant numbers:IH180100020); ARC Training Centre(grant numbers:IC200100023); ARC Linkage Project(grant numbers:LP200100056,LP240200586); ARC Discovery Project(grant numbers:DP220103881); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11195829","Intelligent robot;intermittent power device planning and integration;voltage regulation;deep learning;smart grid","Voltage control;Vehicle-to-grid;Real-time systems;Security;Reactive power;Costs;Planning;Optimization;Electric vehicle charging;Scheduling","","1","","46","IEEE","7 Oct 2025","Jan. 2026","","IEEE","IEEE Journals"
"Communication-Efficient Multi-Robot Exploration Using Coverage-Biased Distributed Q-Learning","E. Latif; R. Parasuraman","School of Computing, University of Georgia, Athens, GA, USA; School of Computing, University of Georgia, Athens, GA, USA",IEEE Robotics and Automation Letters,"5 Feb 2024","2024","9","3","2622","2629","Frontier exploration and reinforcement learning have historically been used to solve the problem of enabling many mobile robots to autonomously and cooperatively explore complex surroundings. These methods need to keep an internal global map for navigation, but they do not consider the high costs of communication and information sharing between robots. This study offers CQLite, a novel distributed Q-learning technique that minimizes data communication between robots while achieving rapid convergence and thorough coverage in multi-robot exploration. The proposed CQLite method uses ad hoc map merging, and selectively shares updated Q-values at recently identified frontiers to reduce communication costs significantly. The theoretical analysis of CQLite's convergence and efficiency and extensive numerical verification on simulated indoor maps utilizing several robots demonstrate the method's novelty. With over 2× reductions in computation and communication alongside improved mapping performance, CQLite outperformed cutting-edge multi-robot exploration techniques like Rapidly-exploring Random Trees and Deep Reinforcement Learning.","2377-3766","","10.1109/LRA.2024.3358095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10413563","Multi-robot systems;cooperating robots","Q-learning;Merging;Optimization;Planning;Navigation;Costs;Multi-robot systems","","16","","26","IEEE","24 Jan 2024","March 2024","","IEEE","IEEE Journals"
"Swarm-Based Task Scheduling Algorithm for Real-Time Industrial Robotic IoT Control Systems","R. C. Gurung; M. K. Yahya-Imam","School of AI computing and Multimedia, Lincoln University College, Malaysia; School of AI computing and Multimedia, Lincoln University College, Malaysia",2025 International Conference on Intelligent Innovations in Engineering and Technology (ICIIET),"19 Feb 2026","2025","","","1","6","Industrial robotic IoT systems are increasingly deployed in smart manufacturing for high-precision and real-time operations. Still, their efficiency is often hindered by dynamic task loads, resource constraints, and strict timing requirements. Existing scheduling algorithms struggle to adapt to rapidly changing industrial environments, resulting in delays, idle resources, and reduced throughput. To address these challenges, this paper introduces a Hybrid Bio-Inspired Swarm Task Scheduler (HBSTS), a novel method combining adaptive particle swarm optimization (APSO) with a dynamic pheromone-based task allocation strategy specifically designed for real-time robotic IoT systems. The APSO component predicts optimal task sequences based on historical and real-time execution data. At the same time, the pheromone-inspired mechanism dynamically adjusts task assignments among robotic agents, accounting for priorities, execution times, and inter-device communication delays. This dual-layer approach allows the system to continuously learn and self-optimize under fluctuating workloads, making it more resilient than traditional static or single-layer swarm algorithms. Extensive simulations on industrial IoT testbeds demonstrate that HBSTS improves task throughput by 32%, reduces latency by 21%, and enhances overall resource utilization compared to conventional priority-based and standard swarm scheduling methods. The results confirm that integrating predictive optimization with adaptive, pheromone-driven task allocation provides a scalable, highly responsive solution for real-time industrial robotics. In conclusion, HBSTS delivers a unique, intelligent, and adaptive framework for task scheduling in complex IoT-enabled industrial environments, enabling faster, more efficient, and reliable automation. The proposed HBSTS achieved high performance, with task throughput increasing from 7 to 12 tasks, latency reduced to 9–17 seconds, resource utilization of 82–86%, and efficiency of 72–79%.","","979-8-3315-9103-8","10.1109/ICIIET65921.2025.11378637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11378637","Real-time scheduling;Hybrid swarm optimization;Industrial IoT;Robotics task allocation;Adaptive optimization","Job shop scheduling;Service robots;Scheduling algorithms;Throughput;Dynamic scheduling;Real-time systems;Delays;Resource management;Optimization;Industrial Internet of Things","","","","16","IEEE","19 Feb 2026","4-6 Dec. 2025","4-6 Dec. 2025","IEEE","IEEE Conferences"
"Multi-Robot Gas Sources Localization and Mapping Using Adaptive Voronoi-PSO and Bayesian Inference","Y. A. Prabowo; B. R. Trilaksono; E. M. I. Hidayat; B. Yuliarto","Bandung Institute of Technology, Bandung, Indonesia; Bandung Institute of Technology, Bandung, Indonesia; Bandung Institute of Technology, Bandung, Indonesia; Bandung Institute of Technology, Bandung, Indonesia",IEEE Access,"7 Dec 2023","2023","11","","135738","135752","Gas sources localization (GSL) and gas distribution mapping (GDM) are vital when hazardous gas leaks occur, as finding the sources and mapping the contaminant are crucial for containment and prevention. This paper addresses the challenge of simultaneous GSL and GDM through a multi-robot coordination algorithm in a large area. Bayesian inference methods are employed to estimate areas with the highest gas concentration. The robots are directed towards the most probable locations of the highest gas concentration. Even after locating all the gas sources, the robot group focuses on mapping the more contaminated areas. Voronoi tessellation is utilized to partition the working area among the robots. The Particle Swarm Optimization (PSO) method is employed, allowing one robot to share the current highest probability of the gas source’s location to others. The weighting constant of the PSO method is eliminated, enabling GSL and GDM to be performed in an adaptive manner. The proposed method is referred to as “adaptive Voronoi-PSO”. The method is evaluated in both free-space and cluttered environments. Monte Carlo simulation is suitable for free-space environments as it rapidly generates gas distribution. Evaluating the method in cluttered environments is more challenging, requiring complex simulations to generate the gas distribution. Overall, the adaptive Voronoi-PSO method offers more advantages than solely using Voronoi or non-adaptive Voronoi-PSO methods. Its only drawback is observed in cluttered environments. Nevertheless, the adaptive Voronoi-PSO method remains advantageous as it eliminates the need to select a weighting constant, which is a challenging task in practice.","2169-3536","","10.1109/ACCESS.2023.3336560","Indonesian Ministry of Research and Technology/National Agency for Research and Innovation and Indonesian Ministry of Education and Culture under World Class University (WCU) Program Managed by Institut Teknologi Bandung; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10328611","Gas sources localization;gas distribution mapping;multi-robot coordination","Robot kinematics;Genetic algorithms;Bayes methods;Location awareness;Task analysis;Estimation;Position measurement;Gases;Multi-robot systems","","5","","25","CCBYNCND","23 Nov 2023","2023","","IEEE","IEEE Journals"
"Multi-Robot Path Planning With Boolean Specification Tasks Under Motion Uncertainties","Z. Zhang; Z. He; N. Ran; M. Reniers",NA; NA; NA; NA,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","3433","3438","This paper studies the path planning problem of multi-robot systems under motion uncertainties with high-level tasks that are expressed as Boolean specifications. The specification imposes logical constraints on robot trajectories and final states. First, a global Markov decision process model of the multi-robot system is constructed to provide its current state. In order to tackle the state explosion problem, at each stage, we construct a local Markov decision process for every individual agent in sequence to compute the local optimal movement strategy and update the global Markov decision process accordingly (i.e., compute locally and update globally). Next, we propose a heuristic reward function design method that provides different rewards for visiting different task points by introducing the estimated distance to complete the global task. Finally, a series of numerical experiments are conducted to demonstrate the computational efficiency and scalability of our developed approach.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10801558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801558","Discrete event systems;Markov decision process;Multi-robot system;High-level task;Reinforcement learning","Uncertainty;Markov decision processes;Scalability;Design methodology;Computational modeling;Explosions;Trajectory;Multi-robot systems;Iterative methods;Intelligent robots","","1","","18","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
